,naselje,rodilnik,mestnik,lat,lng,region_name,region_id
3338,Planina,Planine,Planini,45.7759,14.2137,Primorsko-notranjska,SI038
3339,Planina,Planine,Planini,45.6546,15.1783,Jugovzhodna Slovenija,SI037
3340,Planina Na Pohorju,Planine Ne Pohorjua,Planini Ni Pohorjuu,46.375,15.3854,Savinjska,SI034
3342,Planina Pod Golico,Planine Poda Golica,Planini Podu Golicu,46.4366,14.0602,Gorenjska,SI042
3343,Planina Pod Šumikom,Planine Poda Šumikoma,Planini Podu Šumikomu,46.3903,15.575,Podravska,SI032
3344,Planina Pri Cerknem,Planine Priv Cerknema,Planini Prih Cerknemu,46.1278,13.9875,Goriška,SI043
3345,Planina Pri Raki,Planine Priv Rakiv,Planini Prih Rakih,45.95,15.4833,Posavska,SI036
3346,Planina Pri Sevnici,Planine Priv Sevniciv,Planini Prih Sevnicih,46.2176,15.396,Savinjska,SI034
3347,Planina V Podbočju,Planine Va Podbočjua,Planini Vu Podbočjuu,45.95,15.4833,Posavska,SI036
3348,Planinca,Planince,Planinci,46.0207,14.4178,Osrednjeslovenska,SI041
3349,Planinca,Planince,Planinci,46.2176,15.396,Savinjska,SI034
3350,Planinska Vas,Planinske Vasa,Planinski Vasu,46.2176,15.396,Savinjska,SI034
3351,Planinska Vas,Planinske Vasa,Planinski Vasu,46.15,15.05,Zasavska,SI035
3352,Planinski Vrh,Planinskiv Vrha,Planinskih Vrhu,46.2176,15.396,Savinjska,SI034
3353,Planjsko,Planjska,Planjsku,46.35,15.7333,Podravska,SI032
3354,Plat,Plata,Platu,46.5206,14.8536,Koroška,SI033
3355,Plat,Plata,Platu,46.2314,15.6381,Savinjska,SI034
3357,Plave,Plava,Plavu,46.088,13.6347,Goriška,SI043
3358,Plavje,Plavja,Plavju,45.55,13.7333,Obalno-kraška,SI044
3359,Plavški Rovt,Plavškiv Rovta,Plavških Rovtu,46.4366,14.0602,Gorenjska,SI042
3360,Plazovje,Plazovja,Plazovju,46.1563,15.2386,Savinjska,SI034
3361,Plemberk,Plemberka,Plemberku,45.8,15.1667,Jugovzhodna Slovenija,SI037
3363,Ples,Plesa,Plesu,46.1356,14.7439,Osrednjeslovenska,SI041
3364,Plesko,Pleska,Plesku,46.1479,15.1528,Savinjska,SI034
3365,Pleš,Pleša,Plešu,45.8339,14.9292,Jugovzhodna Slovenija,SI037
3366,Pleše,Pleša,Plešu,45.9836,14.5761,Osrednjeslovenska,SI041
3367,Plešivec,Plešivca,Plešivcu,46.3625,15.1144,Savinjska,SI034
3368,Plešivica,Plešivice,Plešivici,46.0207,14.4178,Osrednjeslovenska,SI041
3369,Plešivica,Plešivice,Plešivici,46.5168,16.2027,Pomurska,SI031
