naselje;občina
Mohorje;Velike Lašče
Mojstrana;Kranjska Gora
Mokri Potok;Kočevje
Mokronog;Mokronog-Trebelno
Montinjan;Koper
Morava;Kočevje
Moravci V Slov. Goricah;Ljutomer
Moravče;Moravče
Moravče Pri Gabrovki;Litija
Moravske Toplice;Moravske Toplice
Moravška Gora;Litija
Morje;Rače-Fram
Morsko;Kanal
Most;Mokronog-Trebelno
Most Na Soči;Tolmin
Moste;Komenda
Moste;Žirovnica
Mostec;Brežice
Mostečno;Makole
Mostje;Juršinci
Mostje;Lendava
Moščanci;Puconci
Moše;Medvode
Mošenik;Moravče
Mošenik;Zagorje Ob Savi
Moškanjci;Gorišnica
Moškrin;Škofja Loka
Mošnje;Radovljica
Mota;Ljutomer
Motnik;Kamnik
Motovilci;Grad
Motvarjevci;Moravske Toplice
Moverna Vas;Semič
Movraž;Koper
Mozelj;Kočevje
Mozirje;Mozirje
Možjanca;Preddvor
Mramorovo Pri Lužarjih;Bloke
Mramorovo Pri Pajkovem;Bloke
Mrčna Sela;Krško
Mrše;Hrpelje-Kozina
Mršeča Vas;Šentjernej
Mrtovec;Sevnica
Mrtvice;Kočevje
Mrtvice;Krško
Mrzla Luža;Trebnje
Mrzla Planina;Sevnica
Mrzlava Vas;Brežice
Mrzli Log;Idrija
Mrzli Vrh;Idrija
Mrzli Vrh;Žiri
Mrzlo Polje;Ivančna Gorica
Mrzlo Polje;Laško
Muha Vas;Kočevje
Muhabran;Trebnje
Mulhe;Šmartno Pri Litiji
Muljava;Ivančna Gorica
Murave;Gorenja Vas-Poljane
Muretinci;Gorišnica
Murska Sobota;Murska Sobota
Murski Črnci;Tišina
Murski Petrovci;Tišina
Murski Vrh;Radenci
Murščak;Radenci
Muta;Muta
Na Logu;Škofja Loka
Nadanje Selo;Pivka
Nadbišec;Lenart
Nadgrad;Slovenska Bistrica
Nadlesk;Loška Dolina
Nadole;Žetale
Nadrožica;Komen
Naklo;Črnomelj
Naklo;Divača
Naklo;Naklo
Nanos;Vipava
Naraplje;Majšperk
Naredi;Velike Lašče
Narin;Pivka
Nasirec;Hrpelje-Kozina
Nasova;Apače
Nasovče;Komenda
Navrški Vrh;Ravne Na Koroškem
Nazarje;Nazarje
Neblo;Brda
Nebova;Maribor
Nedelica;Turnišče
Negastrn;Moravče
Negova;Gornja Radgona
Negovski Vrh;Benedikt
Nemci;Nova Gorica
Nemčavci;Murska Sobota
Nemilje;Kranj
Nemška Gora;Krško
Nemška Loka;Kočevje
Nemška Vas;Krško
Nemška Vas;Ribnica
Nemška Vas Na Blokah;Bloke
Nemški Rovt;Bohinj
Neradnovci;Gornji Petrovci
Nestoplja Vas;Semič
Neverke;Pivka
Nevlje;Kamnik
Nezbiše;Podčetrtek
Nimno;Rogaška Slatina
Nizka;Rečica Ob Savinji
Niževec;Borovnica
Njiverce;Kidričevo
Njivica;Kranj
Njivice;Radeče
Nomenj;Bohinj
Norički Vrh;Gornja Radgona
Noršinci;Moravske Toplice
Noršinci Pri Ljutomeru;Ljutomer
Noše;Radovljica
Notranje Gorice;Brezovica
Nova Cerkev;Vojnik
Nova Gora;Dolenjske Toplice
Nova Gora;Krško
Nova Gora;Litija
Nova Gora Nad Slovensko Bistrico;Slovenska Bistrica
Nova Gorica;Nova Gorica
Nova Lipa;Črnomelj
Nova Oselica;Gorenja Vas-Poljane
Nova Sela;Kostel
Nova Sušica;Pivka
Nova Štifta;Gornji Grad
Nova Štifta;Sodražica
Nova Vas;Bloke
Nova Vas;Ivančna Gorica
Nova Vas;Miren-Kostanjevica
Nova Vas;Preddvor
Nova Vas;Sežana
Nova Vas Nad Dragonjo;Piran
Nova Vas Ob Sotli;Brežice
Nova Vas Pri Jelšanah;Ilirska Bistrica
Nova Vas Pri Konjicah;Slovenske Konjice
Nova Vas Pri Lescah;Radovljica
Nova Vas Pri Markovcih;Markovci
Nova Vas Pri Mokricah;Brežice
Nova Vas Pri Šmarju;Šmarje Pri Jelšah
Novake;Poljčane
Novake;Tržič
Novake;Vojnik
Nove Ložine;Kočevje
Novelo;Miren-Kostanjevica
Novi Grad;Sevnica
Novi Kot;Loški Potok
Novi Lazi;Kočevje
Novi Pot;Sodražica
Novi Svet;Logatec
Novi Vrh;Apače
Novinci;Sveti Andraž V Slov. Goricah
Novo Celje;Žalec
Novo Mesto;Novo Mesto
Novo Tepanje;Slovenske Konjice
Novokračine;Ilirska Bistrica
Nozno;Brda
Nožed;Izola
Nožice;Domžale
Nunska Graba;Ljutomer
Nuskova;Rogašovci
Občice;Dolenjske Toplice
Občine;Trebnje
Obla Gorica;Šmartno Pri Litiji
Obloke;Tolmin
Obolno;Ivančna Gorica
Obrat;Benedikt
Obrež;Središče Ob Dravi
Obrežje;Brežice
Obrežje;Radeče
Obrežje Pri Zidanem Mostu;Laško
Obrh;Dolenjske Toplice
Obrh Pri Dragatušu;Črnomelj
Obrne;Bled
Obrov;Hrpelje-Kozina
Obrše;Lukovica
Ocinje;Rogašovci
Ocizla;Hrpelje-Kozina
Očeslavci;Gornja Radgona
Odolina;Hrpelje-Kozina
Odranci;Odranci
Odrga;Trebnje
Ogljenšak;Slovenska Bistrica
Ogorevc;Štore
Ograda;Bloke
Ograja;Kočevje
Ogulin;Črnomelj
Ohonica;Borovnica
Ojstri Vrh;Železniki
Ojstrica;Dravograd
Ojstriška Vas;Tabor
Ojstro;Laško
Ojstro;Trbovlje
Okljuka;Metlika
Oklukova Gora;Brežice
Okonina;Ljubno
Okoslavci;Radenci
Okoška Gora;Oplotnica
Okrog;Litija
Okrog;Šentjur
Okrog;Šentrupert
Okrog Pri Motniku;Kamnik
Okroglice;Sevnica
Okroglo;Kamnik
Okroglo;Naklo
Olešče;Laško
Olika;Koper
Olimje;Podčetrtek
Olševek;Šenčur
Omota;Semič
Onek;Kočevje
Onkraj Meže;Mežica
Opale;Žiri
Opalkovo;Velike Lašče
Opatje Selo;Miren-Kostanjevica
Oplotnica;Oplotnica
Orehek;Cerkno
Orehek;Postojna
Orehek Pri Materiji;Hrpelje-Kozina
Orehova Vas;Hoče-Slivnica
Orehovci;Gornja Radgona
Orehovec;Kostanjevica Na Krki
Orehovec;Šmarje Pri Jelšah
Orehovica;Šentjernej
Orehovica;Vipava
Orehovica;Zagorje Ob Savi
Orehovlje;Kranj
Orehovlje;Miren-Kostanjevica
Orehovo;Sevnica
Orehovski Vrh;Gornja Radgona
Orešje;Šmarješke Toplice
Orešje Na Bizeljskem;Brežice
Orešje Nad Sevnico;Sevnica
Orkljevec;Mirna Peč
Orla Vas;Braslovče
Orlaka;Trebnje
Orle;Škofljica
Orlek;Sežana
Ormož;Ormož
Ornuška Vas;Mokronog-Trebelno
Orova Vas;Polzela
Ortnek;Ribnica
Ortnice;Kozje
Osek;Nova Gorica
Osek;Sveta Trojica V Slov. Goricah
Osenca;Celje
Osilnica;Osilnica
Oskoršnica;Semič
Oskrt;Kostel
Oslica;Ivančna Gorica
Osluševci;Ormož
Osojnica;Žiri
Osojnik;Semič
Osojnik;Železniki
Osolnik;Medvode
Osp;Koper
Osrečje;Škocjan
Osredek;Cerknica
Osredek;Šentjur
Osredek;Velike Lašče
Osredek;Zagorje Ob Savi
Osredek Nad Stično;Ivančna Gorica
Osredek Pri Dobrovi;Dobrova-Polhov Gradec
Osredek Pri Hubajnici;Sevnica
Osredek Pri Krmelju;Sevnica
Osredek Pri Podsredi;Kozje
Osredek Pri Trški Gori;Krško
Osredek Pri Zrečah;Zreče
Osredke;Dol Pri Ljubljani
Ostenk;Trbovlje
Ostrog;Šentjernej
Ostrovica;Hrpelje-Kozina
Ostrožnik;Mokronog-Trebelno
Ostrožno Brdo;Ilirska Bistrica
Ostrožno Pri Ločah;Slovenske Konjice
Ostrožno Pri Ponikvi – Del;Šentjur
Ošelj;Slovenska Bistrica
Oševek;Kamnik
Oševljek;Renče-Vogrsko
Oštrc;Kostanjevica Na Krki
Otalež;Cerkno
Otavice;Ribnica
Otavnik;Sevnica
Otemna;Celje
Otiški Vrh;Dravograd
Otlica;Ajdovščina
Otoče;Radovljica
Otočec;Novo Mesto
Otok;Cerknica
Otok;Metlika
Otonica;Cerknica
Otošče;Divača
Otovci;Puconci
Otovec;Črnomelj
Ovsiše;Radovljica
Ozeljan;Nova Gorica
Ožbalt;Podvelka
Pacinje;Ptuj
Padeški Vrh;Zreče
Padež;Laško
Padež;Vrhnika
Padež;Zagorje Ob Savi
Padna;Piran
Padovo Pri Fari;Kostel
Padovo Pri Osilnici;Osilnica
Paha;Novo Mesto
Paka;Dobrepolje
Paka;Vitanje
Paka – Del;Mislinja
Paka Pri Predgradu;Kočevje
Paka Pri Velenju;Velenje
Pako;Borovnica
Palčje;Pivka
Paljevo;Kanal
Paloviče;Tržič
Pameče;Slovenj Gradec
Pance;Ljubljana
Paneče;Laško
Pangrč Grm;Novo Mesto
Pangršica;Kranj
Panovci;Gornji Petrovci
Papeži;Osilnica
Papirnica;Škofja Loka
Paradišče;Grosuplje
Paradiž;Cirkulane
Parecag;Piran
Paričjak;Radenci
Paridol;Šentjur
Parižlje;Braslovče
Parje;Pivka
Parož;Dobrna
Paška Vas;Šmartno Ob Paki
Paški Kozjak;Velenje
Paunoviči;Črnomelj
Pavičiči;Črnomelj
Pavla Vas;Sevnica
Pavlica;Ilirska Bistrica
Pavlova Vas;Brežice
Pavlovci;Ormož
Pavlovski Vrh;Ormož
Pece;Grosuplje
Pecelj;Podčetrtek
Peč;Grosuplje
Pečarovci;Puconci
Peče;Moravče
Pečica;Šmarje Pri Jelšah
Pečice;Brežice
Pečice;Litija
Pečine;Tolmin
Pečje;Sevnica
Pečke;Makole
Pečki;Velike Lašče
Pečnik;Idrija
Pečovje;Štore
Pečovnik;Celje
Pedrovo;Nova Gorica
Pekel;Maribor
Pekel;Trebnje
Pekre;Maribor
Penoje;Slovenske Konjice
Pepelno;Celje
Peračica;Radovljica
Peraji;Koper
Perati;Kobarid
Perišče;Brežice
Pernica;Pesnica
Pernice;Muta
Perniki;Gorje
Pernovo;Žalec
Perovec;Slovenske Konjice
Perovo;Ribnica
Pertoča;Rogašovci
Perudina;Črnomelj
Pesje;Krško
Peskovci;Gornji Petrovci
Pesnica;Kungota
Pesnica Pri Mariboru;Pesnica
Pesniški Dvor;Pesnica
Pestike;Zavrč
Peščeni Vrh;Cerkvenjak
Peščenik;Ivančna Gorica
Petane;Novo Mesto
Petanjci;Tišina
Petelinje;Dol Pri Ljubljani
Petelinje;Pivka
Petelinjek;Novo Mesto
Petelinjek Pri Ločah;Slovenske Konjice
Petišovci;Lendava
Petkovec;Logatec
Petrina;Kostel
Petrinci;Sodražica
Petrinje;Hrpelje-Kozina
Petrova Vas;Črnomelj
Petrovče;Žalec
Petrovo Brdo;Tolmin
Petrušnja Vas;Ivančna Gorica
Pevno;Škofja Loka
Pijana Gora;Krško
Pijava Gorica;Škofljica
Pijavice;Sevnica
Pijovci;Šmarje Pri Jelšah
Pikovnik;Cerknica
Pilštanj;Kozje
Pince;Lendava
Pince-Marof;Lendava
Piran;Piran
Pirče;Kostel
Pirešica;Velenje
Pirmane;Cerknica
Piršenbreg;Brežice
Pirševo;Kamnik
Pisari;Koper
Pišece;Brežice
Pivka;Pivka
Pivola;Hoče-Slivnica
Placar;Destrnik
Placerovci;Gorišnica
Plač;Kungota
Plače;Ajdovščina
Planica;Kranj
Planica;Rače-Fram
Planina;Ajdovščina
Planina;Ivančna Gorica
Planina;Kostel
Planina;Ljubno
Planina;Postojna
Planina;Semič
Planina Na Pohorju;Zreče
Planina Nad Horjulom;Dobrova-Polhov Gradec
Planina Pod Golico;Jesenice
Planina Pod Šumikom;Slovenska Bistrica
Planina Pri Cerknem;Cerkno
Planina Pri Raki;Krško
Planina Pri Sevnici;Šentjur
Planina V Podbočju;Krško
Planinca;Brezovica
Planinca;Šentjur
Planinska Vas;Šentjur
Planinska Vas;Trbovlje
Planinski Vrh;Šentjur
Planjsko;Majšperk
Plat;Mežica
Plat;Rogaška Slatina
Platinovec;Šmarje Pri Jelšah
Plave;Kanal
Plavje;Koper
Plavški Rovt;Jesenice
Plazovje;Laško
Plemberk;Novo Mesto
Ples;Bistrica Ob Sotli
Ples;Moravče
Plesko;Hrastnik
Pleš;Žužemberk
Pleše;Škofljica
Plešivec;Velenje
Plešivica;Brezovica
Plešivica;Ljutomer
Plešivica;Sežana
Plešivica;Žužemberk
Plešivica Pri Žalni;Grosuplje
Plešivo;Brda
Pleterje;Kidričevo
Pleterje;Krško
Pletovarje;Šentjur
Plintovec;Kungota
Pliskovica;Sežana
Plitvica;Apače
Plitvički Vrh;Gornja Radgona
Plodršnica;Šentilj
Plosovo;Velike Lašče
Pluska;Trebnje
Plužna;Bovec
Plužnje;Cerkno
Pobegi;Koper
Pobrež;Oplotnica
Pobrežje;Črnomelj
Pobrežje;Videm
Počakovo;Radeče
Poče;Cerkno
Počehova;Maribor
Počenik;Pesnica
Podbela;Kobarid
Podbeže;Ilirska Bistrica
Podblica;Kranj
Podboč;Poljčane
Podbočje;Krško
Podboršt;Ivančna Gorica
Podboršt;Sevnica
Podboršt Pri Komendi;Komenda
Podbrdo;Tolmin
Podbreg;Kamnik
Podbreg;Vipava
Podbrezje;Naklo
Podbreže;Sežana
Podbukovje;Ivančna Gorica
Podbukovje Pri Vačah;Litija
Podcerkev;Loška Dolina
Podčetrtek;Podčetrtek
Poden;Kostel
Podgaj;Šentjur
Podgora;Dobrepolje
Podgora;Gorenja Vas-Poljane
Podgora;Ravne Na Koroškem
Podgora;Straža
Podgora;Šmartno Ob Paki
Podgora Pri Dolskem;Dol Pri Ljubljani
Podgora Pri Ložu;Loška Dolina
Podgora Pri Zlatem Polju;Lukovica
Podgorci;Ormož
Podgorica;Dobrepolje
Podgorica;Sevnica
Podgorica Pri Pečah;Moravče
Podgorica Pri Podtaboru;Grosuplje
Podgorica Pri Šmarju;Grosuplje
Podgorje;Apače
Podgorje;Kamnik
Podgorje;Koper
Podgorje;Slovenj Gradec
Podgorje;Velenje
Podgorje Ob Sevnični;Sevnica
Podgorje Pod Čerinom;Vojnik
Podgorje Pri Letušu;Braslovče
Podgorje Pri Pišecah;Brežice
Podgozd;Ig
Podgozd;Nova Gorica
Podgozd;Žužemberk
Podgračeno;Brežice
Podgrad;Gornja Radgona
Podgrad;Ilirska Bistrica
Podgrad;Ljubljana
Podgrad;Novo Mesto
Podgrad;Šentjur
Podgrad Na Pohorju;Slovenska Bistrica
Podgrad Pri Vremah;Divača
Podgradje;Ljutomer
Podgraje;Ilirska Bistrica
Podgrič;Vipava
Podhojni Hrib;Velike Lašče
Podhom;Gorje
Podhosta;Dolenjske Toplice
Podhruška;Kamnik
Podigrac;Kungota
Podjelje;Bohinj
Podjelovo Brdo;Gorenja Vas-Poljane
Podjelše;Kamnik
Podklanc;Dravograd
Podklanec;Črnomelj
Podklanec;Sodražica
Podklanec;Žiri
Podkočna;Jesenice
Podkogelj;Velike Lašče
Podkoren;Kranjska Gora
Podkraj;Ajdovščina
Podkraj;Hrastnik
Podkraj;Ig
Podkraj;Ravne Na Koroškem
Podkraj;Velike Lašče
Podkraj;Žalec
Podkraj Pri Mežici;Mežica
Podkraj Pri Velenju;Velenje
Podkraj Pri Zagorju;Zagorje Ob Savi
Podkum;Zagorje Ob Savi
Podlanišče;Cerkno
Podlehnik;Podlehnik
Podlesje;Kočevje
Podlešje;Šentjur
Podlipa;Krško
Podlipa;Vrhnika
Podlipa;Žužemberk
Podlipoglav;Ljubljana
Podlipovica;Zagorje Ob Savi
Podlisec;Trebnje
Podljubelj;Tržič
Podlog;Črnomelj
Podlog;Velike Lašče
Podlog Pod Bohorjem;Šentjur
Podlog V Savinjski Dolini;Žalec
Podlom;Kamnik
Podlonk;Železniki
Podlož;Loška Dolina
Podlože;Majšperk
Podmelec;Tolmin
Podmilj;Lukovica
Podmolnik;Ljubljana
Podnanos;Vipava
Podnart;Radovljica
Podob;Slovenske Konjice
Podobeno;Gorenja Vas-Poljane
Podolnica;Horjul
Podolševa;Solčava
Podova;Rače-Fram
Podpeca;Črna Na Koroškem
Podpeč;Brezovica
Podpeč;Dobrepolje
Podpeč;Koper
Podpeč Nad Marofom;Šentjur
Podpeč Ob Dravinji;Slovenske Konjice
Podpeč Pod Skalo;Litija
Podpeč Pri Šentvidu;Šentjur
Podplanina;Loški Potok
Podplat;Rogaška Slatina
Podpleče;Cerkno
Podplešivica;Brezovica
Podporezen;Železniki
Podpreska;Loški Potok
Podpulfrca;Škofja Loka
Podraga;Vipava
Podreber;Dobrova-Polhov Gradec
Podreber;Semič
Podreča;Kranj
Podrečje;Domžale
Podroje;Šmartno Pri Litiji
Podsabotin;Brda
Podskrajnik;Cerknica
Podslivnica;Cerknica
Podsmrečje;Lukovica
Podsmreka;Dobrova-Polhov Gradec
Podsmreka Pri Velikih Laščah;Velike Lašče
Podsmreka Pri Višnji Gori;Ivančna Gorica
Podsreda;Kozje
Podstene;Kočevje
Podstene Pri Kostelu;Kostel
Podstenice;Dolenjske Toplice
Podstenje;Ilirska Bistrica
Podstenjšek;Ilirska Bistrica
Podstran;Moravče
Podstrm;Kostanjevica Na Krki
Podstrmec;Velike Lašče
Podstudenec;Kamnik
Podšentjur;Litija
Podtabor;Dobrepolje
Podtabor;Ilirska Bistrica
Podturn;Mokronog-Trebelno
Podturn;Rogaška Slatina
Podturn Pri Dol. Toplicah;Dolenjske Toplice
Podulaka;Velike Lašče
Podulce;Krško
Podvelka;Podvelka
Podveža;Luče
Podvin;Žalec
Podvin Pri Polzeli;Polzela
Podvinci;Ptuj
Podvine;Šentjur
Podvinje;Brežice
Podvolovljek;Luče
Podvrh;Braslovče
Podvrh;Gorenja Vas-Poljane
Podvrh;Osilnica
Podvrh;Sevnica
Podzemelj;Metlika
Podžaga;Velike Lašče
Pogled;Apače
Pogled;Moravče
Pogonik;Litija
Pohorje;Cirkulane
Poklek Nad Blanco;Sevnica
Poklek Pri Podsredi;Kozje
Pokojišče;Vrhnika
Pokojnica;Ivančna Gorica
Pokoše;Slovenska Bistrica
Polajna;Zreče
Polana;Hoče-Slivnica
Polana;Laško
Polana;Murska Sobota
Polenci;Dornava
Polene;Slovenske Konjice
Polenšak;Dornava
Poletiči;Koper
Polhov Gradec;Dobrova-Polhov Gradec
Polhovica;Šentjernej
Polica;Grosuplje
Polica;Naklo
Police;Cerkno
Police;Gornja Radgona
Polička Vas;Pesnica
Polički Vrh;Pesnica
Poljana;Kamnik
Poljana;Prevalje
Poljane;Cerkno
Poljane;Rečica Ob Savinji
Poljane Nad Blagovico;Lukovica
Poljane Nad Škofjo Loko;Gorenja Vas-Poljane
Poljane Pri Mirni Peči;Mirna Peč
Poljane Pri Podgradu;Hrpelje-Kozina
Poljane Pri Primskovem;Šmartno Pri Litiji
Poljane Pri Stični;Ivančna Gorica
Poljane Pri Štjaku;Sežana
Poljane Pri Žužemberku;Žužemberk
Poljčane;Poljčane
Poljče;Braslovče
Poljče;Radovljica
Polje;Bohinj
Polje;Tolmin
Polje Ob Sotli;Podčetrtek
Polje Pri Bistrici;Bistrica Ob Sotli
Polje Pri Tržišču;Sevnica
Polje Pri Višnji Gori;Ivančna Gorica
Polje Pri Vodicah;Vodice
Poljšica Pri Gorjah;Gorje
Poljšica Pri Podnartu;Radovljica
Poljubinj;Tolmin
Polom;Kočevje
Polšeče;Bloke
Polšina;Zagorje Ob Savi
Polšnik;Litija
Polzela;Polzela
Polzelo;Velike Lašče
Polžanska Gorca;Šmarje Pri Jelšah
Polžanska Vas;Šmarje Pri Jelšah
Polže;Vojnik
Pomjan;Koper
Pondor;Tabor
Pongrac;Žalec
Pongrce;Kidričevo
Ponikva;Šentjur
Ponikva Pri Žalcu;Žalec
Ponikve;Brežice
Ponikve;Cerknica
Ponikve;Dobrepolje
Ponikve;Sežana
Ponikve;Tolmin
Ponikve Pri Studencu;Sevnica
Ponkvica;Šentjur
Ponova Vas;Grosuplje
Ponoviče;Litija
Popetre;Koper
Popovci;Videm
Popovo;Tržič
Pordašinci;Moravske Toplice
Poreber;Kamnik
Poreče;Vipava
Porezen;Tolmin
Portorož;Piran
Posavec;Radovljica
Poslovna Cona Žeje Pri Komendi;Komenda
Postaja;Tolmin
Postojna;Postojna
Poštena Vas;Brežice
Potarje;Tržič
Potiskavec;Dobrepolje
Potoče;Ajdovščina
Potoče;Divača
Potoče;Preddvor
Potok;Idrija
Potok;Kamnik
Potok;Kostel
Potok;Nazarje
Potok;Straža
Potok;Trebnje
Potok;Železniki
Potok Pri Dornberku;Nova Gorica
Potok Pri Komendi;Komenda
Potok Pri Muljavi;Ivančna Gorica
Potok Pri Vačah;Litija
Potok V Črni;Kamnik
Potoki;Jesenice
Potoki;Kobarid
Potoki;Semič
Potoška Vas;Zagorje Ob Savi
Potov Vrh;Novo Mesto
Povčeno;Laško
Povir;Sežana
Povlje;Kranj
Povodje;Vodice
Površje;Krško
Povžane;Hrpelje-Kozina
Pozirno;Škofja Loka
Poznanovci;Puconci
Poznikovo;Velike Lašče
Požarje;Zagorje Ob Savi
Požeg;Rače-Fram
Poženik;Cerklje Na Gorenjskem
Požnica;Laško
Prade;Koper
Pragersko;Slovenska Bistrica
Prapetno;Tolmin
Prapetno Brdo;Tolmin
Prapreče;Vransko
Prapreče;Žužemberk
Prapreče – Del;Trbovlje
Prapreče – Del;Zagorje Ob Savi
Prapreče Pri Straži;Straža
Prapreče Pri Šentjerneju;Šentjernej
Prapretno;Radeče
Prapretno;Šentjur
Prapretno Pri Hrastniku – Del;Hrastnik
Praproče;Dobrova-Polhov Gradec
Praproče;Koper
Praproče;Ribnica
Praproče;Semič
Praproče Pri Grosupljem;Grosuplje
Praproče Pri Temenici;Ivančna Gorica
Praproče V Tuhinju;Kamnik
Praproše;Radovljica
Praprot;Semič
Praprotna Polica;Cerklje Na Gorenjskem
Praprotnica;Mirna
Praprotno;Škofja Loka
Praprotno Brdo;Logatec
Praše;Kranj
Prazniki;Velike Lašče
Prebačevo;Šenčur
Prebold;Prebold
Precetinci;Ljutomer
Preclava;Ormož
Prečna;Novo Mesto
Predanovci;Puconci
Preddvor;Preddvor
Predel;Šmarje Pri Jelšah
Predenca;Šmarje Pri Jelšah
Predgrad;Kočevje
Predgriže;Idrija
Predjama;Postojna
Predloka;Koper
Predmeja;Ajdovščina
Predmost;Gorenja Vas-Poljane
Predole;Grosuplje
Predoslje;Kranj
Predstruge;Dobrepolje
Pregara;Koper
Pregarje;Ilirska Bistrica
Prekopa;Vransko
Prekorje;Celje
Prelasko;Podčetrtek
Prelesje;Črnomelj
Prelesje;Gorenja Vas-Poljane
Prelesje;Litija
Prelesje;Šentrupert
Prelog;Domžale
Preloge;Semič
Preloge;Slovenska Bistrica
Preloge Pri Konjicah;Slovenske Konjice
Preloge Pri Šmarju;Šmarje Pri Jelšah
Preloka;Črnomelj
Prelože;Ilirska Bistrica
Prelože Pri Lokvi;Sežana
Prelska;Velenje
Prem;Ilirska Bistrica
Premagovce;Krško
Premančan;Koper
Prepolje;Starše
Prepuž;Slovenska Bistrica
Prerad;Dornava
Presečno;Dobje
Preserje;Braslovče
Preserje;Brezovica
Preserje;Nova Gorica
Preserje Pri Komnu;Komen
Preserje Pri Lukovici;Lukovica
Preserje Pri Radomljah;Domžale
Preserje Pri Zlatem Polju;Lukovica
Presika;Ljutomer
Preska;Sevnica
Preska;Sodražica
Preska Nad Kostrevnico;Šmartno Pri Litiji
Preska Pri Dobrniču;Trebnje
Presladol;Krško
Prestranek;Postojna
Preša;Majšperk
Preški Vrh;Ravne Na Koroškem
Prešna Loka;Sevnica
Prešnica;Hrpelje-Kozina
Pretrež;Slovenska Bistrica
Pretrž;Moravče
Prevale;Litija
Prevalje;Lukovica
Prevalje;Prevalje
Prevalje Pod Krimom;Brezovica
Preveg;Litija
Prevoje;Lukovica
Prevoje Pri Šentvidu;Lukovica
Prevole;Žužemberk
Prezid;Vrhnika
Prezrenje;Radovljica
Preža;Kočevje
Preženjske Njive;Litija
Prežganje;Ljubljana
Prežigal;Slovenske Konjice
Prhajevo;Velike Lašče
Pri Cerkvi-Struge;Dobrepolje
Pribinci;Črnomelj
Pribišje;Semič
Prigorica;Ribnica
Prihodi;Jesenice
Prihova;Nazarje
Prihova;Oplotnica
Prikrnica;Moravče
Prilesje;Lukovica
Prilesje;Velike Lašče
Prilesje Pri Plavah;Kanal
Prilipe;Brežice
Prilozje;Metlika
Primča Vas;Ivančna Gorica
Primostek;Metlika
Primož;Sevnica
Primož Pri Ljubnem;Ljubno
Primož Pri Šentjurju;Šentjur
Primoži;Kočevje
Primskovo;Šmartno Pri Litiji
Primštal;Trebnje
Pristava;Borovnica
Pristava;Cirkulane
Pristava;Ljutomer
Pristava;Nova Gorica
Pristava;Novo Mesto
Pristava;Sežana
Pristava;Tržič
Pristava;Vojnik
Pristava Nad Stično;Ivančna Gorica
Pristava Ob Krki;Krško
Pristava Pod Rako;Krško
Pristava Pri Lesičnem;Podčetrtek
Pristava Pri Leskovcu;Krško
Pristava Pri Mestinju;Podčetrtek
Pristava Pri Polh. Gradcu;Dobrova-Polhov Gradec
Pristava Pri Šentjerneju;Šentjernej
Pristava Pri Višnji Gori;Ivančna Gorica
Pristavica;Rogaška Slatina
Pristavica;Šentjernej
Pristavica Pri Vel. Gabru;Trebnje
Pristavlja Vas;Ivančna Gorica
Pristavo;Brda
Pristova;Dobrna
Prnek;Rogaška Slatina
Prosečka Vas;Puconci
Proseniško;Šentjur
Prosenjakovci;Moravske Toplice
Prožinska Vas;Štore
Pršetinci;Sveti Tomaž
Prtovč;Železniki
Prušnja Vas;Krško
Prvačina;Nova Gorica
Prvenci;Markovci
Prvine;Lukovica
Pšajnovica;Kamnik
Pšata;Cerklje Na Gorenjskem
Pšata;Domžale
Pšenična Polica;Cerklje Na Gorenjskem
Pševo;Kranj
Ptuj;Ptuj
Ptujska Cesta;Gornja Radgona
Ptujska Gora;Majšperk
Puc;Kostel
Puconci;Puconci
Puče;Koper
Pudob;Loška Dolina
Pugled;Semič
Pugled Pri Karlovici;Ribnica
Pugled Pri Mokronogu;Mokronog-Trebelno
Pugled Pri Starem Logu;Kočevje
Pungert;Ivančna Gorica
Pungert;Loški Potok
Pungert;Škofja Loka
Purga;Črnomelj
Purkače;Velike Lašče
Pusti Gradec;Črnomelj
Pusti Hrib;Ribnica
Pusti Javor;Ivančna Gorica
Pustike;Šmarje Pri Jelšah
Pusto Polje;Nazarje
Pušča;Murska Sobota
Puščava;Lovrenc Na Pohorju
Puščava;Mokronog-Trebelno
Pušče;Velike Lašče
Pušenci;Ormož
Puštal;Škofja Loka
Puževci;Puconci
Rača;Domžale
Rače;Rače-Fram
Račeva;Žiri
Račica;Sevnica
Račica;Šmartno Pri Litiji
Račice;Ilirska Bistrica
Račja Vas;Brežice
Račje Selo;Trebnje
Rački Vrh;Radenci
Račni Vrh;Domžale
Radana Vas;Zreče
Radanja Vas;Ivančna Gorica
Radeče;Radeče
Radegunda;Mozirje
Radehova;Lenart
Radelca;Radlje Ob Dravi
Radenci;Radenci
Radenski Vrh;Radenci
Radež;Sevnica
Radgonica;Litija
Radizel;Hoče-Slivnica
Radkovec;Slovenska Bistrica
Radlek;Bloke
Radlje Ob Dravi;Radlje Ob Dravi
Radmirje;Ljubno
Radmožanci;Lendava
Radna;Sevnica
Radna Vas;Mokronog-Trebelno
Radoblje;Laško
Radohova Vas;Ivančna Gorica
Radomerje;Ljutomer
Radomerščak;Ljutomer
Radomlje;Domžale
Radoslavci;Ljutomer
Radoši;Metlika
Radovci;Grad
Radovica;Metlika
Radoviči;Metlika
Radovlja;Šmarješke Toplice
Radovljica;Radovljica
Radovna;Gorje
Raduha;Luče
Raduše;Slovenj Gradec
