naselje;občina
Desenci;Destrnik
Desinec;Črnomelj
Deskle;Kanal
Deskova Vas;Črnomelj
Desnjak;Ljutomer
Destrnik;Destrnik
Dešeča Vas;Žužemberk
Dešen;Moravče
Devina;Slovenska Bistrica
Dežno Pri Makolah;Makole
Dežno Pri Podlehniku;Podlehnik
Dilce;Postojna
Dilici;Koper
Divača;Divača
Divči;Komen
Dob;Domžale
Dob Pri Šentvidu;Ivančna Gorica
Dobe;Kostanjevica Na Krki
Dobec;Cerknica
Dobeno;Brežice
Dobeno;Mengeš
Dobindol;Dolenjske Toplice
Dobja Vas;Ravne Na Koroškem
Dobje;Gorenja Vas-Poljane
Dobje;Grosuplje
Dobje;Litija
Dobje Pri Lesičnem;Šentjur
Dobje Pri Planini;Dobje
Doblar;Kanal
Doblatina;Laško
Dobletina;Nazarje
Dobležiče;Kozje
Dobliče;Črnomelj
Doblička Gora;Črnomelj
Dobova;Brežice
Dobovec;Trbovlje
Dobovec Pri Ponikvi;Šentjur
Dobovec Pri Rogatcu;Rogatec
Dobovica;Litija
Dobovlje;Domžale
Dobovo;Novo Mesto
Dobrava;Izola
Dobrava;Križevci
Dobrava;Ormož
Dobrava;Radeče
Dobrava;Radlje Ob Dravi
Dobrava;Trebnje
Dobrava Ob Krki;Krško
Dobrava Pod Rako;Krško
Dobrava Pri Konjicah;Slovenske Konjice
Dobrava Pri Kostanjevici;Kostanjevica Na Krki
Dobrava Pri Stični;Ivančna Gorica
Dobrava Pri Škocjanu;Škocjan
Dobravica;Ig
Dobravica;Radovljica
Dobravica;Šentjernej
Dobravica Pri Vel. Gabru;Trebnje
Dobravlje;Ajdovščina
Dobravlje;Sežana
Dobravšce;Gorenja Vas-Poljane
Dobrič;Polzela
Dobrije;Ravne Na Koroškem
Dobrina;Šentjur
Dobrina;Žetale
Dobriša Vas;Žalec
Dobriška Vas;Oplotnica
Dobrljevo;Zagorje Ob Savi
Dobrna;Dobrna
Dobrnež;Slovenske Konjice
Dobrnič;Trebnje
Dobro Polje;Radovljica
Dobropolje;Ilirska Bistrica
Dobrova;Celje
Dobrova;Dobrova-Polhov Gradec
Dobrova;Krško
Dobrova Pri Dravogradu;Dravograd
Dobrova Pri Prihovi;Oplotnica
Dobrovce;Miklavž Na Dravskem Polju
Dobrovlje;Braslovče
Dobrovlje;Zreče
Dobrovlje Pri Mozirju;Mozirje
Dobrovnik;Dobrovnik
Dobrovo;Brda
Dobrovščak;Ormož
Dobruša;Vodice
Dobruška Vas;Škocjan
Dogoše;Maribor
Doklece;Majšperk
Dokležovje;Beltinci
Dol;Gornji Grad
Dol;Kočevje
Dol;Krško
Dol;Medvode
Dol Pod Gojko;Vojnik
Dol Pri Borovnici;Borovnica
Dol Pri Hrastniku;Hrastnik
Dol Pri Hrastovljah;Koper
Dol Pri Laškem;Laško
Dol Pri Ljubljani;Dol Pri Ljubljani
Dol Pri Pristavi;Šmarje Pri Jelšah
Dol Pri Stopercah;Majšperk
Dol Pri Šmarjeti;Šmarješke Toplice
Dol Pri Šmarju;Šmarje Pri Jelšah
Dol Pri Trebnjem;Trebnje
Dol Pri Vogljah;Sežana
Dolanci;Komen
Dolane;Cirkulane
Dole;Idrija
Dole;Metlika
Dole;Šentjur
Dole Pod Sv. Trojico;Moravče
Dole Pri Krašcah;Moravče
Dole Pri Litiji;Litija
Dole Pri Polici;Grosuplje
Dole Pri Škofljici;Škofljica
Dolena;Videm
Dolenci;Šalovci
Dolenčice;Gorenja Vas-Poljane
Dolenja Brezovica;Brezovica
Dolenja Brezovica;Šentjernej
Dolenja Dobrava;Gorenja Vas-Poljane
Dolenja Dobrava;Trebnje
Dolenja Lepa Vas;Krško
Dolenja Nemška Vas;Trebnje
Dolenja Pirošica;Brežice
Dolenja Podgora;Črnomelj
Dolenja Ravan;Gorenja Vas-Poljane
Dolenja Stara Vas;Šentjernej
Dolenja Trebuša;Tolmin
Dolenja Vas;Cerknica
Dolenja Vas;Divača
Dolenja Vas;Novo Mesto
Dolenja Vas;Prebold
Dolenja Vas;Ribnica
Dolenja Vas;Zagorje Ob Savi
Dolenja Vas;Železniki
Dolenja Vas Pri Artičah;Brežice
Dolenja Vas Pri Čatežu;Trebnje
Dolenja Vas Pri Črnomlju;Črnomelj
Dolenja Vas Pri Krškem;Krško
Dolenja Vas Pri Mirni Peči;Mirna Peč
Dolenja Vas Pri Polhovem Gradcu;Dobrova-Polhov Gradec
Dolenja Vas Pri Polici;Grosuplje
Dolenja Vas Pri Raki;Krško
Dolenja Vas Pri Temenici;Ivančna Gorica
Dolenja Žaga;Kostel
Dolenja Žetina;Gorenja Vas-Poljane
Dolenjci;Črnomelj
Dolenje;Ajdovščina
Dolenje;Domžale
Dolenje;Sežana
Dolenje Brdo;Gorenja Vas-Poljane
Dolenje Dole;Škocjan
Dolenje Gradišče;Dolenjske Toplice
Dolenje Gradišče Pri Šentj.;Šentjernej
Dolenje Grčevje;Novo Mesto
Dolenje Jesenice;Šentrupert
Dolenje Jezero;Cerknica
Dolenje Kališče;Velike Lašče
Dolenje Kamenje;Novo Mesto
Dolenje Kamenje Pri Dobrniču;Trebnje
Dolenje Karteljevo;Novo Mesto
Dolenje Kronovo;Šmarješke Toplice
Dolenje Laknice;Mokronog-Trebelno
Dolenje Lakovnice;Novo Mesto
Dolenje Medvedje Selo;Trebnje
Dolenje Mokro Polje;Šentjernej
Dolenje Nekovo;Kanal
Dolenje Otave;Cerknica
Dolenje Podpoljane;Ribnica
Dolenje Poljane;Loška Dolina
Dolenje Polje;Dolenjske Toplice
Dolenje Ponikve;Trebnje
Dolenje Pri Jelšanah;Ilirska Bistrica
Dolenje Radulje;Škocjan
Dolenje Selce;Trebnje
Dolenje Skopice;Brežice
Dolenje Sušice;Dolenjske Toplice
Dolenje Vrhpolje;Šentjernej
Dolenje Zabukovje;Mokronog-Trebelno
Dolenji Boštanj;Sevnica
Dolenji Globodol;Mirna Peč
Dolenji Lazi;Ribnica
Dolenji Leskovec;Krško
Dolenji Maharovec;Šentjernej
Dolenji Novaki;Cerkno
Dolenji Podboršt;Mirna Peč
Dolenji Podboršt Pri Treb.;Trebnje
Dolenji Podšumberk;Trebnje
Dolenji Potok;Kostel
Dolenji Radenci;Črnomelj
Dolenji Suhadol;Novo Mesto
Dolenji Suhor Pri Vinici;Črnomelj
Dolenji Vrh;Trebnje
Dolenjske Toplice;Dolenjske Toplice
Dolga Brda;Prevalje
Dolga Gora;Šentjur
Dolga Njiva Pri Šentlovren.;Trebnje
Dolga Poljana;Ajdovščina
Dolga Raka;Krško
